Transcript,valence,arousal,dominance,emotion,original_emotion,Audio_Uttrance_Path
"No, no, no.",2.0,2.0,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F001.wav
...pick up anything?,2.5,2.0,3.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M002.wav
No.,2.0,1.5,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F002.wav
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,2.5,2.0,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M003.wav
That's sweet.,3.0,2.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F003.wav
Thank you.,3.5,2.0,3.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F004.wav
I went to see her headstone a week or two ago.,2.0,2.0,4.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F005.wav
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",3.5,3.0,4.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F006.wav
Hmm.,3.0,3.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M004.wav
So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,3.5,3.0,4.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F007.wav
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,2.5,3.5,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F008.wav
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,2.5,3.5,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F008.wav
"this woman came up and, you know, it was hers. It was her person that was there.",2.5,3.0,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F009.wav
Oh.  She was there?,3.0,2.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M005.wav
"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",2.0,2.5,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F010.wav
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",2.0,3.0,4.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F011.wav
Mmhmm.,3.0,2.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M006.wav
"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",2.0,3.5,4.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F012.wav
Yeah.,3.0,2.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M007.wav
I don't know.,2.0,2.0,2.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F013.wav
How long were you there for?,3.0,2.5,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M008.wav
At the cemetery?,3.0,3.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F014.wav
Mmhmm.,3.0,2.5,2.5,Neutral,Neutral state,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M009.wav
couple hours.,2.0,2.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F015.wav
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",4.0,3.0,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F016.wav
Oh really?,3.0,2.5,3.0,Neutral,Neutral state,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M010.wav
You ran through the sprinklers in the cemetery?,3.0,2.0,3.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M011.wav
It was hot.[LIPSMACK],4.0,3.0,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F017.wav
Is it a big cemetery?,2.5,2.5,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M012.wav
Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,4.0,3.0,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F018.wav
"Oh, so they're like really old too, really old ones?",3.0,2.5,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M013.wav
Yeah.,2.5,2.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F019.wav
"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",2.5,3.0,4.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F020.wav
"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",2.0,3.0,4.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F021.wav
She used to have these poetry parties on Memorial Day.,4.0,3.0,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F022.wav
Mmhmm.,3.0,2.5,2.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M014.wav
Umm. Yeah.,2.5,2.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F023.wav
"And the last time before she died, I remember she couldn't really stand, umm...",1.5,2.0,3.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F024.wav
"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",3.0,3.5,4.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F025.wav
Mmhmm.,3.0,3.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M015.wav
"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",3.0,3.0,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F026.wav
"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",3.0,3.0,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F026.wav
So she wrote a lot of poetry?,3.0,2.5,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M016.wav
"There's another one, I can't remember.",2.0,2.0,3.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F027.wav
"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",3.0,3.5,4.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_F028.wav
Mmhmm.Mmhmm.Mmhmm.,4.0,3.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_impro06/Ses01F_impro06_M017.wav
Next.,1.5,3.5,4.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F000.wav
"Yes, me. Okay, okay here we go.",3.0,3.5,2.5,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M000.wav
My window is open.,2.5,3.5,3.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F001.wav
"Okay, so filled out all these forms  --",2.5,3.5,3.0,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M001.wav
This is... Your last- Your first name is Jones?,3.0,3.0,3.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F002.wav
and I have This form of ID here so...,2.5,3.0,3.5,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M002.wav
"Yes, Jones.",2.5,3.0,2.5,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M003.wav
That's just strange I figured you filled in wrong sections.,3.0,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F003.wav
Well...,2.5,2.5,2.0,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M004.wav
What are you... what's...What are you applying for?,2.5,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F004.wav
I'm just applying for another ID.,2.5,3.0,3.5,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M005.wav
Another ID?,2.5,3.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F005.wav
"Yes.  I'm supposed to have three forms of ID for this.  It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another...",1.5,4.0,4.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M006.wav
Fine.  So I need ID.,2.5,3.0,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F006.wav
"I have it right here, yes.",2.0,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M007.wav
"No, I need your ID to give you a second ID.",2.0,3.5,4.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F007.wav
It's really simple if you have a problem with it... Maybe you should--,1.5,4.0,4.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F008.wav
But that's...,2.0,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M008.wav
"That's why I'm here, that's why I was waiting in this line.  I need to get another form of ID.",1.5,4.0,4.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M009.wav
"Well, do you have your passport?",2.5,2.5,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F009.wav
"No, I don't have a passport.",2.0,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M010.wav
You have a birth certificate?,3.0,3.0,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F010.wav
"I don't where it is though, I don't have with me.  Can I get it from somewhere?  I mean...",2.0,3.5,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M011.wav
What do you expect me to do?,2.0,4.0,4.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F011.wav
I probably have to go wait another line to get my birth certificate don't I?,2.0,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M012.wav
Probably.,2.5,2.5,4.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F012.wav
You're very helpful.  What's your name?,2.5,3.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M013.wav
Joy.,3.0,2.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F013.wav
"Hi, Joy.",3.5,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M014.wav
Hi.   You know...,2.5,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F014.wav
So can you help me or not?,2.0,3.5,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M015.wav
I am..I don't..I don't understand what you want.  A driver's license or a California ID.,1.5,4.0,4.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F015.wav
Okay. [BREATHING],2.5,4.0,3.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M016.wav
I need California ID.,2.5,3.5,4.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M017.wav
Okay.,3.0,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F016.wav
On top of these other two forms of ID which I already have.,1.5,4.5,4.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M018.wav
"What... well, do you have a driver's license?",3.0,3.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F017.wav
"No, I don't have driver's license.",2.0,3.5,3.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M019.wav
Then how am I supposed to give you a California ID?,2.5,3.0,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F018.wav
Did you even look at the form?  I filled it out all these questions--,1.5,4.5,4.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M020.wav
Don't raise your voice with me.,1.0,4.5,4.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F019.wav
Did you even look at the form?  I've already answered these question.,1.5,4.0,4.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M021.wav
Don't talk to me like I'm a child.,1.0,4.0,5.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F020.wav
Okay.,2.5,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M022.wav
Do you know how long I've been working here? How long have you lived in California?,1.0,4.5,5.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F021.wav
If it makes you stop acting like a child.,2.0,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M023.wav
I have been to California my whole--,1.5,4.0,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M024.wav
"Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one.",1.0,5.0,5.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F022.wav
I am not...I'm not getting to back that line.,1.5,4.0,4.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M025.wav
"Okay, okay let's keep our voices down, okay?  I didn't come here to get in yelling match.",3.0,3.0,4.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M026.wav
I'm perfectly calm.,3.0,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F023.wav
"I did not come in here to get in a yelling match with you, all right?",2.5,4.0,4.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M027.wav
Uh huh.  I didn't come here get in yelling match either.,3.0,2.5,3.0,Neutral,Neutral state,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F024.wav
Just try and help me.,2.5,3.0,3.0,Neutral,Neutral state,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M028.wav
They don't pay me enough to deal people like you.,3.0,3.0,4.0,Neutral,Neutral state,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F025.wav
"People like me, what is that supposed to mean?  You know, this is ridiculous.  Is there like a manager here, is there someone else that I can talk to?",2.0,4.0,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M029.wav
Why?,3.0,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F026.wav
Why?,1.5,3.0,4.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M030.wav
Yeah.,3.0,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F027.wav
"So you're not going to send me a thank you card, is that a problem? Is your are not going...",1.5,3.0,4.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F028.wav
"Why, because I'm sick of talking to you.",1.5,3.5,4.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M031.wav
"'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",1.5,4.5,4.5,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M032.wav
"Oh, dear. Oh, boo-foo-woo, foo-foo.",1.5,3.5,4.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F029.wav
"Oh, no honey. And you're going to miss the Christmas card too. It's a shame. It's going to be a good, nice picture.",1.0,3.5,4.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_M033.wav
Sit back down.,2.5,2.5,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01M_impro01/Ses01M_impro01_F030.wav
Good God.,2.5,4.0,1.0,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M000.wav
Is it them?,2.0,3.5,1.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_F000.wav
I wonder.,2.5,3.5,1.0,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M001.wav
Freda is the only one who knows we are here.  She wouldn't ring up.,2.5,3.5,2.0,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_F001.wav
It must be them then.,2.5,3.0,1.0,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M002.wav
It had to happen sooner or later.  What are we going to do?,2.5,3.5,1.0,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_F002.wav
[BREATHING],2.5,3.5,1.5,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M003.wav
"We are okay, aren't we darling?",2.5,3.5,1.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M004.wav
"Now and always, sweet.",4.0,2.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_F003.wav
I don't care then.,4.0,3.0,2.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M005.wav
It had to happen sooner or later.,4.0,2.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_F004.wav
"Hello?  Hello?  I'm sorry, what's that?",3.0,3.0,1.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M006.wav
No.  Wrong number. [LAUGHTER],4.5,3.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M007.wav
[LAUGHTER] That sent shivers up my spine.,4.0,4.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_F005.wav
What shall we do if they suddenly walk in on us.[LAUGHTER],4.0,3.0,2.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M008.wav
We'll behave exquisitely.,4.0,3.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_F006.wav
With perfect poise.,4.0,2.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M009.wav
I think I shall do a curtsy.,4.0,3.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_F007.wav
"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they?",4.0,3.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M010.wav
Hmm.  The pity is that one can't stay happy.,2.5,2.0,2.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_F008.wav
"Darling, don't say that.",3.0,2.5,2.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_M011.wav
It's true.  I think the whole thing's a cruel joke.,2.5,3.0,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session1/Audio_Uttrances/Ses01F_script03_1/Ses01F_script03_1_F009.wav
